tag,ruling,last_election,election_frequency,elections_allowed,research_slots,tech_tier,social_democracy,social_liberalism,liberal_conservatism,progressive_populism,national_populism,sovereign_democracy,military_junta,absolute_monarchy,state_socialism,left_wing_nationalism,islamic_democracy,theocratic_absolutism,jihadist_fundamentalism,democratic_confederalism,fascism,communism,technocracy,anarcho_communism
CRI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TAT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CIN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
DAG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BYA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CKK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
FER,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
YAK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
VLA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KKP,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
YAM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TAY,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
OVO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NEN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KOM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ABK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KBK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NOA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
VGE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BSK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KHI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
UDM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CHU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MEL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RIF,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
HAR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TIG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
AFA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BEG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GBA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SID,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ORO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
QEM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KHA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
AOI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
LBV,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PAP,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TOS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SPM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TTS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SMI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GRN,social_democracy,2024.1.1,48,1,1,0,70,8,14,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
RAP,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
YUC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RIG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
QUE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KAT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BIA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
WLA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CBV,social_liberalism,2024.1.1,48,1,1,0,9,70,13,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
BAR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
EVE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SOK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
THU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
HES,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RHI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
UBD,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KOS,left_wing_nationalism,2025.2.9,48,1,1,0,6,0,9,0,0,0,0,0,0,82,0,0,0,0,0,3,0,0
RKB,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GEN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKH,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RGB,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RNA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RKV,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RAN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RCO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RUS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RHD,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RAR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ROA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RAA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GAR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
INC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MIS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MAY,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
INU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CHR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ITZ,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NAH,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
IAS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
DIP,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PSH,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
HYD,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MYS,sovereign_democracy,2024.1.1,48,0,3,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RJP,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CIP,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RAS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NWF,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KAS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
MPU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
WIS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KOL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KHL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SIN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KLT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SKK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
FSA,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ASY,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BHR,absolute_monarchy,2022.11.12,48,0,2,1,0,0,8,0,0,0,0,78,0,4,10,0,0,0,0,0,0,0
IMO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BLC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
EZO,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
OKN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ANU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PLU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
FOR,social_liberalism,2024.1.13,48,1,4,2,16,36,32,6,8,0,0,0,0,0,0,0,0,0,0,2,0,0
TML,social_democracy,2024.1.1,48,1,1,0,50,11,17,0,13,0,0,0,0,0,0,0,0,0,4,5,0,0
CHM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SNG,technocracy,2025.5.3,60,1,3,2,12,10,22,0,6,0,0,0,0,0,0,0,0,0,0,2,48,0
SAR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SAB,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BRN,absolute_monarchy,2024.1.1,48,0,1,0,0,0,8,0,0,0,0,80,0,0,12,0,0,0,0,0,0,0
WPG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KUM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GSM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GDC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
KHM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NXM,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SND,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SIC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
XIC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RNG,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
PSR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
HBC,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SDL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
RUT,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GAL,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BLI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
ATJ,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
SSI,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
POK,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
GOW,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
TNE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
BOU,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
VAN,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
CPS,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
DPK,state_socialism,2024.1.1,60,0,2,1,0,0,0,0,0,3,0,0,92,0,0,0,0,0,0,5,0,0
SSD,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
KIR,liberal_conservatism,2024.1.1,48,1,1,0,16,14,55,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0
TUV,social_liberalism,2024.1.1,48,1,1,0,13,60,17,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0
NAU,liberal_conservatism,2024.1.1,48,1,1,0,18,15,50,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0
MHL,social_liberalism,2024.1.1,48,1,1,0,13,55,19,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0
MAU,social_democracy,2024.1.1,48,1,1,0,60,10,17,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0
COM,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
STP,social_democracy,2024.1.1,48,1,1,0,55,11,18,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0
SEY,social_democracy,2024.1.1,48,1,1,0,60,10,17,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0
SML,liberal_conservatism,2024.1.1,48,1,1,0,15,12,50,0,15,0,0,0,0,0,0,0,0,0,3,5,0,0
NCY,liberal_conservatism,2024.1.1,48,1,1,0,16,12,40,0,22,0,0,0,0,0,0,0,0,0,7,3,0,0
HAM,jihadist_fundamentalism,2024.1.1,48,0,1,0,0,0,0,0,8,0,0,0,0,5,14,0,70,0,0,3,0,0
HEZ,theocratic_absolutism,2024.1.1,48,0,1,0,0,0,0,0,0,4,0,0,0,16,10,62,0,0,0,8,0,0
HOU,theocratic_absolutism,2024.1.1,48,0,1,0,0,0,0,0,0,4,0,0,0,12,10,68,6,0,0,0,0,0
YNR,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
NUG,social_liberalism,2024.1.1,48,0,1,0,10,35,13,0,23,0,0,0,0,0,0,0,0,0,8,11,0,0
ATG,liberal_conservatism,2024.1.1,48,1,1,0,14,12,55,0,11,0,0,0,0,0,0,0,0,0,4,4,0,0
DMA,social_liberalism,2024.1.1,48,1,1,0,12,60,16,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0
STL,social_democracy,2024.1.1,48,1,1,0,55,11,18,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0
SVG,social_democracy,2024.1.1,48,1,1,0,55,11,18,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0
GND,social_democracy,2024.1.1,48,1,1,0,55,11,18,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0
BRB,social_liberalism,2024.1.1,48,1,1,0,12,60,16,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0
PMR,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,85,0,0,0,0,0,0,0,0,0,5,0,0
ROJ,democratic_confederalism,2024.1.1,48,1,1,0,15,0,8,0,0,0,0,0,0,12,4,0,0,55,0,6,0,0
STC,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
DRZ,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SNA,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
PNT,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
JUB,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SHB,jihadist_fundamentalism,2024.1.1,48,0,1,0,0,0,5,0,0,10,0,0,0,0,12,0,70,0,0,3,0,0
M23,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SOE,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
NRF,social_liberalism,2024.1.1,48,0,1,0,13,55,18,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0
LES,liberal_conservatism,2024.1.1,48,0,1,0,18,12,35,0,27,0,0,0,0,0,0,0,0,0,0,8,0,0
SWZ,absolute_monarchy,2024.1.1,48,0,1,0,4,0,6,0,0,0,0,88,0,0,0,0,0,0,0,2,0,0
LNA,military_junta,2024.1.1,48,0,2,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
RSF,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
SIO,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
AZA,military_junta,2024.1.1,48,0,1,0,4,0,6,0,0,0,88,0,0,0,0,0,0,0,0,2,0,0
IG1,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
IG2,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
IG3,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
IG4,sovereign_democracy,2024.1.1,48,0,1,0,4,0,6,0,0,88,0,0,0,0,0,0,0,0,0,2,0,0
