tag,ideas
JUB,dd_welfare_1 dd_education_2 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_1 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription closed_economy war_economy
KAL,
KAR,
KAS,
KAT,
KAZ,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_4 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
KBK,
KEN,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
KHA,
KHI,
KHL,
KHM,
KIR,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
KKP,
KLT,
KOL,
KOM,
KOR,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_4 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_2 dd_aid_3 dd_religion_3 dd_media_4 dd_civil_military_3 extensive_conscription export_focus early_mobilization
KOS,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only free_trade civilian_economy
KSH,
KUB,
KUM,
KUR,
KUW,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus civilian_economy
KYR,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
LAO,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_5 dd_security_4 dd_healthcare_2 dd_labor_4 dd_fertility_1 dd_aid_1 dd_religion_4 dd_media_2 dd_civil_military_2 limited_conscription limited_exports civilian_economy
LAT,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 limited_conscription export_focus early_mobilization
LBA,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus partial_economic_mobilisation
LBV,
LEB,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
LES,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
LIB,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
LIT,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 limited_conscription export_focus early_mobilization
LNA,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription export_focus war_economy
LUX,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only free_trade civilian_economy
M23,dd_welfare_1 dd_education_2 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_1 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription closed_economy war_economy
MAC,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
MAD,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
MAL,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
MAN,
MAU,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
MAY,
MEK,
MEL,
MEN,
MEX,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
MHL,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
MIS,
MLD,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_2 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
MLI,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports war_economy
MLT,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_1 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_4 volunteer_only free_trade civilian_economy
MLW,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
MNT,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only free_trade civilian_economy
MOL,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription export_focus civilian_economy
MON,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_4 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
MOR,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
MPU,
MRT,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_2 dd_fertility_1 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
MYS,
MZB,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 limited_conscription export_focus civilian_economy
NAH,
NAU,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
NAV,
NCY,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription free_trade civilian_economy
NEN,
NEP,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
NGA,dd_welfare_2 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
NGR,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_5 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports partial_economic_mobilisation
NIC,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_4 dd_security_5 dd_healthcare_3 dd_labor_4 dd_fertility_1 dd_aid_1 dd_religion_4 dd_media_2 dd_civil_military_2 volunteer_only limited_exports civilian_economy
NIR,
NMB,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
NOA,
NOR,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_4 dd_women_4 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_5 dd_labor_4 dd_fertility_3 dd_aid_4 dd_religion_4 dd_media_4 dd_civil_military_3 limited_conscription export_focus civilian_economy
NRF,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription free_trade war_economy
NUG,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_4 dd_civil_military_3 limited_conscription free_trade war_economy
NWF,
NXM,
NZL,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_4 dd_minority_4 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_4 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
OCC,
OKN,
OMA,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
ORO,
OVO,
PAK,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
PAL,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only limited_exports civilian_economy
PAN,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only free_trade civilian_economy
PAP,
PAR,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
PER,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_2 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_3 dd_labor_3 dd_fertility_2 dd_aid_2 dd_religion_1 dd_media_2 dd_civil_military_2 limited_conscription limited_exports partial_economic_mobilisation
PHI,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
PLU,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
PMR,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_3 dd_labor_4 dd_fertility_3 dd_aid_1 dd_religion_4 dd_media_2 dd_civil_military_2 limited_conscription limited_exports partial_economic_mobilisation
PNG,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
PNT,dd_welfare_2 dd_education_2 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_3 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription free_trade partial_economic_mobilisation
POK,
POL,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_2 dd_aid_3 dd_religion_2 dd_media_3 dd_civil_military_4 volunteer_only export_focus early_mobilization
POR,dd_welfare_4 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
PRC,
PRE,
PRU,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
PSH,
PSR,
PUE,
QAT,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_4 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_3 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription free_trade civilian_economy
QEM,
QUE,
RAA,
RAJ,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_4 dd_investment_4 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
RAN,
RAP,
RAR,
RAS,
RCG,dd_welfare_2 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
RCO,
RGB,
RHD,
RHI,
RIF,
RIG,
RJP,
RKA,
RKB,
RKC,
RKG,
RKH,
RKI,
RKK,
RKL,
RKM,
RKN,
RKO,
RKT,
RKU,
RKV,
RNA,
RNG,
ROA,
ROJ,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_4 dd_minority_4 dd_investment_3 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_4 dd_media_3 dd_civil_military_3 limited_conscription limited_exports war_economy
ROM,dd_welfare_3 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
RSF,dd_welfare_1 dd_education_1 dd_immigration_2 dd_taxes_1 dd_women_1 dd_minority_1 dd_investment_1 dd_security_5 dd_healthcare_1 dd_labor_1 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 extensive_conscription closed_economy war_economy
RUS,
RUT,
RWA,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
SAB,
SAF,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_4 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_4 dd_civil_military_3 volunteer_only export_focus civilian_economy
SAM,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SAR,
SAU,dd_welfare_4 dd_education_5 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_3 dd_religion_2 dd_media_2 dd_civil_military_2 volunteer_only export_focus civilian_economy
SAX,
SCO,
SDL,
SEN,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
SER,dd_welfare_3 dd_education_4 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
SEY,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SHB,dd_welfare_1 dd_education_1 dd_immigration_1 dd_taxes_1 dd_women_1 dd_minority_1 dd_investment_1 dd_security_5 dd_healthcare_1 dd_labor_1 dd_fertility_1 dd_aid_1 dd_religion_1 dd_media_2 dd_civil_military_5 extensive_conscription closed_economy war_economy
SHL,
SHX,
SIA,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription export_focus civilian_economy
SIC,
SID,
SIE,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SIK,
SIL,
SIN,
SIO,dd_welfare_1 dd_education_2 dd_immigration_2 dd_taxes_1 dd_women_2 dd_minority_2 dd_investment_1 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription closed_economy war_economy
SKK,
SLO,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_3 dd_fertility_3 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
SLV,dd_welfare_4 dd_education_5 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_2 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
SMI,
SML,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_3 dd_investment_2 dd_security_3 dd_healthcare_2 dd_labor_3 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SNA,dd_welfare_2 dd_education_2 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_4 dd_healthcare_2 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports war_economy
SND,
SNG,dd_welfare_3 dd_education_4 dd_immigration_4 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_4 dd_security_4 dd_healthcare_4 dd_labor_2 dd_fertility_2 dd_aid_2 dd_religion_3 dd_media_3 dd_civil_military_3 extensive_conscription free_trade civilian_economy
SOE,dd_welfare_2 dd_education_3 dd_immigration_2 dd_taxes_2 dd_women_3 dd_minority_2 dd_investment_3 dd_security_4 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports partial_economic_mobilisation
SOK,
SOL,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SOM,dd_welfare_2 dd_education_2 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_3 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription limited_exports war_economy
SOV,dd_welfare_3 dd_education_5 dd_immigration_2 dd_taxes_3 dd_women_3 dd_minority_2 dd_investment_4 dd_security_5 dd_healthcare_3 dd_labor_4 dd_fertility_2 dd_aid_2 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports war_economy
SPM,
SPR,dd_welfare_4 dd_education_4 dd_immigration_4 dd_taxes_3 dd_women_4 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_4 dd_labor_4 dd_fertility_3 dd_aid_3 dd_religion_4 dd_media_3 dd_civil_military_4 volunteer_only export_focus civilian_economy
SRL,dd_welfare_3 dd_education_4 dd_immigration_3 dd_taxes_3 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_2 volunteer_only export_focus civilian_economy
SSD,dd_welfare_1 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_3 limited_conscription limited_exports war_economy
SSI,
STC,dd_welfare_2 dd_education_2 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_4 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_3 dd_civil_military_2 limited_conscription limited_exports war_economy
STL,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_3 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
STP,dd_welfare_2 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_2 dd_security_2 dd_healthcare_2 dd_labor_3 dd_fertility_3 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only free_trade civilian_economy
SUD,dd_welfare_2 dd_education_4 dd_immigration_2 dd_taxes_2 dd_women_2 dd_minority_2 dd_investment_2 dd_security_5 dd_healthcare_1 dd_labor_2 dd_fertility_2 dd_aid_1 dd_religion_2 dd_media_2 dd_civil_military_2 limited_conscription limited_exports war_economy
SUR,dd_welfare_3 dd_education_3 dd_immigration_3 dd_taxes_2 dd_women_3 dd_minority_3 dd_investment_3 dd_security_3 dd_healthcare_3 dd_labor_3 dd_fertility_1 dd_aid_1 dd_religion_3 dd_media_3 dd_civil_military_3 volunteer_only export_focus civilian_economy
