tag,name,ideology,subideology,dem,com,fas,neu,gdp_b,debt_gdp,mva_b,sipri_b,wartime,pop,faction,capital,leader,elections,docks,infra,renewable_gw,ind_b,agr_b
NMB,Namibia,democratic,socialism,50,15,5,30,15.1,0.70,1.510,0.36,0,3153246,,541,Netumbo Nandi-Ndaitwah,yes,0,2,0.500,4.366,1.054
BOT,Botswana,democratic,conservatism,60,10,5,25,19.9,0.20,1.134,0.57,0,2603388,,542,Duma Boko,yes,0,3,0.200,5.557,0.355
ZAM,Zambia,democratic,liberalism,50,12,8,30,28.9,0.80,2.527,0.35,0,22521915,,771,Hakainde Hichilema,yes,0,1,3.000,10.204,1.186
MLW,Malawi,democratic,conservatism,50,12,8,30,14.9,0.70,1.241,0.12,0,22785535,,770,Lazarus Chakwera,yes,0,1,0.000,2.134,4.480
MAD,Madagascar,democratic,conservatism,40,12,10,38,19.6,0.55,2.308,0.12,0,33522052,,543,Andry Rajoelina,yes,0,1,0.200,4.690,4.258
GAB,Gabon,neutrality,despotism,20,10,8,62,21.4,0.60,4.085,0.32,0,2647399,,539,Brice Oligui Nguema,no,0,1,0.000,10.111,1.447
RCG,Republic of the Congo,neutrality,despotism,15,15,8,62,16.3,0.90,1.474,0.18,0,6637785,,772,Denis Sassou Nguesso,yes,0,1,0.000,5.807,1.648
CAR,Central African Republic,neutrality,despotism,10,12,12,66,3.1,0.50,0.459,0.07,1,5698984,,660,Faustin-Archange Touadera,yes,0,2,0.000,0.651,0.846
EQG,Equatorial Guinea,neutrality,despotism,8,8,8,76,12.8,0.40,2.860,0.11,0,1984468,,297,Teodoro Obiang,no,0,1,0.000,5.310,0.411
TOG,Togo,neutrality,despotism,20,10,8,62,11.9,0.70,1.215,0.20,0,9930918,,777,Faure Gnassingbe,yes,0,1,0.000,2.499,2.417
DAH,Benin,democratic,liberalism,50,10,8,32,24.6,0.55,2.494,0.15,0,15170419,,776,Patrice Talon,yes,0,2,0.000,4.300,5.630
VOL,Burkina Faso,neutrality,despotism,10,10,12,68,27.6,0.55,1.828,1.02,0,24601700,,778,Ibrahim Traore,no,0,1,0.000,8.306,5.510
ERI,Eritrea,neutrality,despotism,5,15,10,70,2.1,0.20,0.102,0.18,0,3682669,,550,Isaias Afwerki,no,0,1,0.000,0.405,0.262
DJI,Djibouti,neutrality,despotism,15,10,8,67,4.6,0.45,0.219,0.04,0,1199459,,268,Ismail Omar Guelleh,yes,0,1,0.000,0.767,0.105
BRD,Burundi,neutrality,despotism,15,15,8,62,3.4,0.70,0.441,0.17,0,14729157,,769,Evariste Ndayishimiye,yes,0,1,0.000,0.613,1.154
TML,Timor-Leste,democratic,socialism,50,10,8,32,1.9,0.15,0.035,0.05,0,1436923,,721,Jose Ramos-Horta,yes,0,1,0.000,0.221,0.376
BRN,Brunei,neutrality,despotism,8,3,5,84,15.0,0.03,1.493,0.56,0,469775,,1023,Hassanal Bolkiah,no,0,1,0.000,9.019,0.178
MLD,Maldives,democratic,conservatism,50,8,6,36,7.7,0.70,0.138,0.02,0,531517,,281,Mohamed Muizzu,yes,0,2,0.000,0.722,0.355
BAH,Bahamas,democratic,liberalism,60,5,5,30,15.8,0.80,0.100,0.05,0,404628,,690,Philip Davis,yes,0,2,0.000,1.524,0.082
JAM,Jamaica,democratic,conservatism,55,10,8,27,22.7,0.75,1.747,0.26,0,2833403,,689,Andrew Holness,yes,0,1,0.000,3.697,1.985
GYA,Guyana,democratic,socialism,50,10,8,32,27.1,0.30,0.514,0.20,0,840890,,687,Irfaan Ali,yes,0,1,0.000,20.347,2.096
BLZ,Belize,democratic,liberalism,55,8,6,31,3.3,0.65,0.211,0.03,0,428644,,311,Johnny Briceño,yes,0,2,0.000,0.467,0.255
TRI,Trinidad and Tobago,democratic,conservatism,50,12,8,30,25.9,0.55,3.686,0.23,0,1513268,,691,Kamla Persad-Bissessar,yes,0,1,0.000,8.880,0.199
ATG,Antigua and Barbuda,democratic,conservatism,55,8,6,31,2.3,0.80,0.057,0.01,0,94626,,308,Gaston Browne,yes,0,2,0.000,0.425,0.035
DMA,Dominica,democratic,liberalism,60,8,5,27,0.7,0.80,0.035,0.0,0,65511,,1093,Roosevelt Skerrit,yes,0,3,0.000,0.102,0.088
STL,Saint Lucia,democratic,socialism,55,10,5,30,2.7,0.70,0.095,0.01,0,180488,,1094,Philip J Pierre,yes,0,3,0.000,0.284,0.044
SVG,Saint Vincent and the Grenadines,democratic,socialism,55,10,5,30,1.3,0.80,0.049,0.0,0,99245,,1095,Ralph Gonsalves,yes,0,3,0.000,0.190,0.043
GND,Grenada,democratic,socialism,55,12,5,28,1.4,0.70,0.047,0.0,0,117362,,1096,Dickon Mitchell,yes,0,2,0.000,0.220,0.036
BRB,Barbados,democratic,liberalism,60,8,5,27,8.0,1.10,0.376,0.02,0,282724,,692,Mia Mottley,yes,0,3,0.000,0.927,0.118
SUR,Suriname,democratic,conservatism,50,12,8,30,4.5,0.80,0.876,0.05,0,645256,,309,Jennifer Geerlings-Simons,yes,0,2,0.000,1.548,0.299
CRC,Curacao,democratic,liberalism,55,8,6,31,3,0.50,0.1,0.0,0,150000,,695,Gilmar Pisas,yes,0,3,0.000,,
CBV,Cabo Verde,democratic,liberalism,70,8,5,17,3.1,0.80,0.159,0.02,0,529630,,702,Jose Maria Neves,yes,0,3,0.000,0.328,0.154
BAS,Lesser Antilles,democratic,liberalism,55,8,6,31,0,0,0,0,0,0,,308,Unused,no,0,1,0.000,,
KIR,Kiribati,democratic,conservatism,55,5,5,35,0.3,0.20,0.015,0.0,0,138445,,639,Taneti Maamau,yes,0,2,0.000,0.040,0.079
TUV,Tuvalu,democratic,liberalism,60,5,5,30,0.1,0.10,0.000,0.0,0,9362,,643,Feleti Teo,yes,0,2,0.000,0.003,0.006
NAU,Nauru,democratic,conservatism,50,5,5,40,0.2,0.50,0.02,0.0,0,12101,,725,David Adeang,yes,0,2,0.000,,
MHL,Marshall Islands,democratic,liberalism,55,5,5,35,0.3,0.40,0.009,0.0,0,35075,,633,Hilda Heine,yes,0,2,0.000,0.038,0.057
MAU,Mauritius,democratic,socialism,60,8,5,27,16.2,0.80,1.815,0.02,0,1265059,,707,Navin Ramgoolam,yes,0,2,0.300,2.858,0.746
COM,Comoros,neutrality,despotism,20,10,8,62,1.8,0.50,0.130,0.0,0,899010,,708,Azali Assoumani,yes,0,1,0.000,0.179,0.664
STP,Sao Tome and Principe,democratic,socialism,55,10,5,30,1.0,0.80,0.006,0.0,0,244994,,705,Carlos Vila Nova,yes,0,1,0.000,0.022,0.120
SEY,Seychelles,democratic,socialism,60,8,5,27,2.4,0.70,0.129,0.03,0,134959,,709,Wavel Ramkalawan,yes,0,3,0.000,0.343,0.062
YUG,Yugoslavia,neutrality,despotism,20,20,10,50,0,0,0,0,0,0,,107,Unused,no,0,1,0.000,,
